"Document Title","Added","Issue"
"ThingStore — An Internet of Things Management System","2017","The emerging technologies in IoT unveils various devices for the convenience of users, but comes with the price of streaming and processing a large amount of data for delivering useful and presentable results. Especially the multimedia content can be estimated as the most expensive to compute and distribute in IoT environments due to the data size and complexity of algorithms. This may cause bottlenecks in current Internet and data-center infrastructures, thus affecting the service price and quality. ThingStore is an advanced app-store concept to bring device providers, application software developers, and end-users together in an Internet-scale IoT ecosystem. The concept of smart services in ThingStore allows the distribution of the massive computation on IoT to the edges, thus avoiding data transfers and making services with large computational volume possible. The Event Query Language (EQL) allows software developers without domain knowledge to develop applications over large scales of sensor devices. This study introduces the new event query processing approach in ThingStore, provides a new and more detailed definition of EQL and proposes an Internet architecture based on service-oriented computing."
"An Approach for Real-Time Stream Reasoning for the Internet of Things","2017","As distributed IoT applications become larger and more complex, the simple processing of raw sensor and actuation data streams becomes impractical. Instead, data streams must be fused into tangible facts and these pieces of information must be combined with a background knowledge to infer new bits of knowledge. And since many IoT applications require almost real-time reactivity to stimuli from the environment this information inference process has to be performed in a continuous, on-line manner. This paper proposes a new semantic model for data stream processing and real-time symbolic reasoning based on the concepts of Semantic Stream and Fact Stream, as a natural extensions of Complex Event Processing (CEP) and RDF (graph-based knowledge model). The main advantages of our approach are that: (a) it considers time as a key relation between pieces of information, (b) the processing of streams can be implemented using CEP and that (c) it is general enough to be applied to any Data Stream Management System (DSMS)."
"LTCEP: Efficient Long-Term Event Processing for Internet of Things Data Streams","2015","Complex event processing has been widely adopted in different domains, from large-scale sensor networks, smart home, trans-portation, to industrial monitoring, providing the ability of intelligent procession and decision making supporting. In many application scenarios, a lot of complex events are long-term, which takes a long time to happen. Processing long-term complex event with traditional approaches usually leads to the increase of runtime states and therefore impact the processing performance. Hence, it requires an efficient long-term event processing approach and intermediate results storage/query policy to solve this type of problems. In this paper, we propose an event processing system, LTCEP, for long-term event. In LTCEP, we leverage the semantic constraints calculus to split a long-term event into two parts, online detection and event buffering respectively. A long-term query mechanism and event buffering structure are established to optimize the fast response ability and processing performance. Experiments prove that, for long-term event processing, LTCEP model can effectively reduce the redundant runtime state, which provides a higher response performance and system throughput comparing to other selected benchmarks."
"Predictive Analytics for Complex IoT Data Streams","2017","The requirements of analyzing heterogeneous data streams and detecting complex patterns in near real-time have raised the prospect of complex event processing (CEP) for many Internet of Things (IoT) applications. Although CEP provides a scalable and distributed solution for analyzing complex data streams on the fly, it is designed for reactive applications as CEP acts on near real-time data and does not exploit historical data. In this regard, we propose a proactive architecture which exploits historical data using machine learning for prediction in conjunction with CEP. We propose an adaptive prediction algorithm called adaptive moving window regression for dynamic IoT data and evaluated it using a real-world use case with an accuracy of over 96%. It can perform accurate predictions in near real-time due to reduced complexity and can work along CEP in our architecture. We implemented our proposed architecture using open source components which are optimized for big data applications and validated it on a use-case from intelligent transportation systems. Our proposed architecture is reliable and can be used across different fields in order to predict complex events."
"Predicting complex events for pro-active IoT applications","2015","The widespread use of IoT devices has opened the possibilities for many innovative applications. Almost all of these applications involve analyzing complex data streams with low latency requirements. In this regard, pattern recognition methods based on CEP have the potential to provide solutions for analyzing and correlating these complex data streams in order to detect complex events. Most of these solutions are reactive in nature as CEP acts on real-time data and does not exploit historical data. In our work, we have explored a proactive approach by exploiting historical data using machine learning methods for prediction with CEP. We propose an adaptive prediction algorithm called Adaptive Moving Window Regression (AMWR) for dynamic IoT data and evaluated it using a real-world use case. Our proposed architecture is generic and can be used across different fields for predicting complex events."
"A Mobile Complex Event Processing System for Remote Patient Monitoring","2018","Complex Event Processing (CEP) is widely used for Remote Patient Monitoring (RPM). However, the state-of-the-art techniques use a centralized server to receive health sensor streams and detect complex events. This paper introduces an Internet of Things (IoT) based CEP approach that uses a mobile device on the edge and a remote IoT Hospital Server (IHS) deployed on the cloud. The prototype implementation of the system uses an open-source Siddhi CEP engine on the mobile device and an open-source Web Services Oxygen (WSO2) IoT Server on the IHS. In this architecture, complete complex event detection is performed on the edge and the complex event streams are sent to the hospital server using the Message Queuing Telemetry Transport (MQTT) protocol. The MQTT broker forwards complex event streams to an event listener service running on the hospital server that notifies the hospital staff. Advantages of performing CEP on the edge include circumventing out-of-order delivery of various health sensor streams, avoiding queuing delays at the hospital server and reducing the user cost for data transfer between the mobile device and the hospital server. Also, this technique provides the ability to generate local alarms for the patient even when the mobile network connecting the device to the hospital server is unavailable."
"Complex Event Recognition Notification Methodology for Uncertain IoT Systems Based on Micro-Service Architecture","2018","One of the main purposes of the Internet of Things (IoT) systems is to provide information on the observed physical system and to notify when a certain observed complex event occurs in the system. The biggest challenge of the IoT systems is that the systems collect a massive amount of uncertain data from diverse IoT devices, where the devices are connected through the internet. In addition to that, some events are inferred from other events and uncertainty is propagated from parent events to the inferred events, which additionally contributes to overall system uncertainty. The observed complex events are a complex relationship of primitive events that are produced by IoT devices and collected in IoT system. There were a couple of attempts to quantify the system uncertainty by estimating the likelihood of the occurrence of events of interest while taking into account the uncertain data and uncertain parameters of the model of the physical system with rule-based complex event processing and/or Bayesian network. These methods were implemented as stand-alone software solutions that are unable to scale under heavy loads of incoming events. This paper proposes a micro-service based notification methodology that uses complex event recognition to handle the IoT system uncertainty."
"Modeling business entities and physical workflow in the context of Internet of Things: The GSM-IoT framework","2015","Guard Stage Milestone (GSM) approach proved its ability to specify business entities lifecycle and the associated data. Although this framework is a promising approach for business process operations modeling, the concept of physical flows is missing. In workflow modeling, we usually have three main views, the strategic, the tactical, and the operational views. These views show different aspect of the business workflow from coarse grained level to finest grained level of granularity. The purpose of this article is to extend GSM framework by adding physical workflow concepts and take into account particularities of Internet of Things (IoT) smart entities and their mutual interactions. This extended framework called GSM-IoT framework eases physical workflow modeling, particularly the strategic and operational views we are interesting in this article. GSM-IoT framework also aims to enable services orchestration, data and event sharing among stakeholders in the context of Internet of Things. This will therefore ease business collaboration and interoperability enhancement in the Supply Chain (SC) ecosystem."
"Support Dementia: Using Wearable Assistive Technology and Analysing Real-Time Data","2016","Support provided to sufferers of Dementia by the National Health Service (NHS) is mainly in the form of personal attendants such as nurses and social workers. The main focus of this paper is to present how the use of assistive technologies can help early sufferers of Dementia patients to overcome barriers in achieving their daily activities and to illustrate how data analytics, such as Complex Event Processing (CEP) in real-time can allow better monitoring of these patients. This activity will contribute to research work which is to provide a suitable framework to accurately analyse real-time data from assistive technology and wearable devices for remote healthcare, particularly monitoring early sufferers of dementia in order to promote good quality independent living."
"CEP Rule Extraction From Unlabeled Data in IoT","2018","With the recent development of the Internet of Things, produced data are increasing day by day. These data have to be analyzed in real time. To provide real time analysis, Complex Event Processing is proposed to analyze the continuous and timely annotated data. Complex event processing detects complex events from atomic events via predefined rules which are mostly determined by domain experts. Determining complex event processing rules requires thorough knowledge of the data and data relations among data sources. It will be difficult to define a rule when it is considered that the scope and quantity of data is increased. Therefore, there is a need for extracting rules automatically. In this paper, we propose a novel model that extracts rules from unlabeled data by using clustering and rule mining algorithms. The model is evaluated in terms of classification performance and the results show that the proposed model is a promising solution for extracting complex event processing rules."
"A Complex Event Processing based smart aid system for fire and danger management","2017","When hazardous events occurs in buildings or in large environments with different access points and with a large number of users, rescue workers (firefighters, first aid workers, civil protection teams, etc.) need to intervene in a timely manner, where there is a certainty that there are users to help. Topically such events require avoiding waste of resources in environments where there are no people at the time of the disaster or where the damage is of low magnitude. To guide rescuers at the points of the building where there are users to help, we modeled and built an Internet of Things-based framework that monitors data and environmental parameters of interest and, if certain thresholds are exceeded, alerts the rescuers through a telephone call to emergency numbers. The hardware infrastructure is driven by a complex, flexible and adaptive software layer that behaves depending on a Complex Event Processing engine and a reflective middleware according to the rule based engine that manages data from the sensors and reasoning mechanisms of a knowledge base that models the given domain."
"Complex Event Processing for City Officers: A Filter and Pipe Visual Approach","2018","Administrators and operators of next generation cities will likely be required to exhibit a good understanding of technical features, data issues, and complex information that, up to few years ago, were quite far from day-to-day administration tasks. In the smart city era, the increased attention to data harvested from the city fosters a more informed approach to city administration, requiring involved operators to drive, direct, and orient technological processes in the city more effectively. Such an increasing need requires tools and platforms that can easily and effectively be controlled by nontechnical people. In this paper, an approach for enabling “easier” composition of real-time data processing pipelines in smart cities is presented, exploiting a visual and block-based design approach, similar to the one adopted in the Scratch programming language for elementary school students. The proposed approach encompasses both a graphical editor and a sound methodology and workflow, to allow city operators to effectively design, develop, test, and deploy their own data processing pipelines. The editor and the workflow are described in the context of a pilot of the ALMANAC European project."
"Proactive personalized services through fog-cloud computing in large-scale IoT-based healthcare application","2017","With the development of medical sensors and IoT, personalized service assisted elder and patient living is a critical service in IoT-based healthcare application. However, the scale and complexity of personalized service is increasing because of ubiquitous deployment of various kinds of medical sensors, which cause response time increase and resource waste. Therefore, leveraging the advantage of complex event processing (CEP) in data stream processing, we propose a hierarchical fog-cloud computing CEP architecture for personalized service to accelerate response time and reduce resource waste. Firstly, we introduce the proposed architecture, which includes sensor layer, fog layer and cloud layer. Secondly, we propose a series of optimizations for the architecture, there are a partitioning and clustering approach and a communication and parallel processing policy to optimize the fog and cloud computing. Finally, we implement a prototype system based on the architecture named FogCepCare. Experimental result shows that FogCepCare is superior to the traditional IoT-based healthcare application."
"Event management for simultaneous actions in the Internet of Things","2016","Complex event processing (CEP) is attracting much attention as a method for analyzing streaming data in the IoT environment. Since a CEP system selects and executes a rule from rules that match identified events, i.e., multiple rules are sequentially executed. This, however, causes a problem in the Internet of Things (IoT) environment since rule execution is slow and the remaining rules must wait to be executed. Simply executing rules in parallel may trigger interference between rules, and thus unexpected and undesirable results. This paper extends the traditional CEP system by developing an execution model for parallel rule firing in the IoT environment so as to be able to execute multiple rules in parallel without any interference. We start with an extended parallel firing condition by adding the definition of dependency between sensors and actuators to the condition. Next, we extend synchronization control of parallel firing so as to avoid the interference among rules that can occur when actions take a lot of time to execute. This paper reveals that the extended CEP system (i) realizes triple parallelism (i.e., data parallelism, task parallelism, and pipeline parallelism) in the IoT environment and (ii) avoids the case where rule execution triggers unexpected results."
"An Ingestion and Analytics Architecture for IoT Applied to Smart City Use Cases","2018","As sensors are adopted in almost all fields of life, the Internet of Things (IoT) is triggering a massive influx of data. We need efficient and scalable methods to process this data to gain valuable insight and take timely action. Existing approaches which support both batch processing (suitable for analysis of large historical data sets) and event processing (suitable for realtime analysis) are complex. We propose the hut architecture, a simple but scalable architecture for ingesting and analyzing IoT data, which uses historical data analysis to provide context for real-time analysis. We implement our architecture using open source components optimized for Big Data applications and extend them, where needed. We demonstrate our solution on two real-world smart city use cases in transportation and energy management."
"Management of IoT Devices in a Physical Network","2017","The internet of things is an evolving trend, connecting ""things"" to the internet, exchanging and collecting information about the surrounding environment. This is possible, by using different devices such as sensors and actuators feeding information that when connected together, enable to monitor and interact with the surrounding environment. Nowadays, there are many devices with different functionalities from multiple manufacturers, which create an interoperability issue of how to interconnect and manage this heterogeneous world of devices. In order to promote interoperability and effectively manage devices it's required to store their data and at the same time handle the registration of each device in a network. The development of a reference architecture can provide a solution for this problem, however a consensus on a reference architecture that can effectively manage this heterogeneous world of devices, is still not yet achieved. Device management is a key feature for any real world solution for a scalable reliable interoperable cloud platform. This gives the capability to add a device, and in that moment enable communication with the rest of the network, sharing information and providing knowledge in an interoperable balanced environment. Adding new devices to a network and assign the necessary services, interfaces and rules will provide a fast track not only in terms of a business-oriented solution but also in back-end management and interoperability. This paper proposes a device management solution based on an architecture and model, to support the registration of devices and propose the necessary services and events, which can be used by a specific device, during its life span inside the physical network."
"An Approach for CEP Query Shipping to Support Distributed IoT Environments","2018","In recent years, the amount of data has significantly increased. Deriving information and, consequently, knowledge from this data leads to huge benefits. To realize this, oftentimes Complex Event Processing is employed. Usually, current solutions process data on monolithic IT infrastructures. However, for the emerging Internet of Things paradigm, this is not adequate, because high efficiency is of vital importance. To achieve this, distributed data processing with short communication paths and reduced network traffic need to be enabled. In this paper, we introduce an approach for CEP query shipping to support distributed Internet of Things environments."
"Real-Time Probabilistic Data Fusion for Large-Scale IoT Applications","2018","Internet of Things (IoT) data analytics is underpinning numerous applications, however, the task is still challenging predominantly due to heterogeneous IoT data streams, unreliable networks, and ever increasing size of the data. In this context, we propose a two-layer architecture for analyzing IoT data. The first layer provides a generic interface using a service oriented gateway to ingest data from multiple interfaces and IoT systems, store it in a scalable manner and analyze it in real-time to extract high-level events; whereas second layer is responsible for probabilistic fusion of these high-level events. In the second layer, we extend state-of-the-art event processing using Bayesian networks in order to take uncertainty into account while detecting complex events. We implement our proposed solution using open source components optimized for large-scale applications. We demonstrate our solution on real-world use-case in the domain of intelligent transportation system where we analyzed traffic, weather, and social media data streams from Madrid city in order to predict probability of congestion in real-time. The performance of the system is evaluated qualitatively using a web-interface where traffic administrators can provide the feedback about the quality of predictions and quantitatively using F-measure with an accuracy of over 80%."
"Exploring IoT Industry Applications: The Evolution of Internet of Things for Healthcare","2017","In this course, we will explore the main concepts that will provide you with the foundations and concepts related to Healthcare and Internet of Things.  First, we will have a brief look into the evolution of healthcare from classic healthcare into diverse forms of electronic healthcare. Next, we will review the concept of Internet of Things and how it relates with healthcare in a variety of ways. Once these foundations are set, we will discuss the main challenges and opportunities that the use of the IoT paradigm implies for the healthcare sector. And we will finish with some conclusions and open questions."
"Cyber-physical systems security through multi-factor authentication and data analytics","2018","We are living in a society where technology is present everywhere we go. We are striving towards smart homes, smart cities, Internet of Things, Internet of Everything. Not so long ago, a password was all you needed for secure authentication. Nowadays, even the most complicated passwords are not considered enough. Multi-factor authentication is gaining more and more terrain. Complex system may also require more than one solution for real, strong security. The present paper proposes a framework based with MFA as a basis for access control and data analytics. Events within a cyber-physical system are processed and analyzed in an attempt to detect, prevent and mitigate possible attacks."
"EdgeCEP: Fully-Distributed Complex Event Processing on IoT Edges","2017","In this paper, we propose a general complex event processing (CEP) engine aiming for accomplishing at smart IoT edge devices in a fully distributed manner. We introduce a pseudo-source mechanism to cover a wide range of processing and obsolete prerequisite of source-specification at the same time, along with a brand-new event specification language defined to support relation-based processing. Against cloud-based approaches, our behind-edge approach can prevent data overflow and privacy issues, and fully distributed processing can draw the power of the edge devices. To achieve that in a resource-limited edge environment, we formulate an optimization problem of processing task assignment and stream delivery, and propose a fully-autonomous workload distribution mechanism. A large-scale simulation with a realistic smart-building scenario shows that our proposed method achieves about 6.6 times smaller flow volume and 2 times lower loss rate compared to centralization and is relatively superior to a hop-based distribution approach. Notably, a prototype engine is successfully deployed over an ad-hoc wireless sensor and actuator network through Intel Edison modules in the real environment."
"Architecture of standard-based, interoperable and extensible IoT platform","2016","IoT Platform marketplace is gaining a lot of attention in many areas. The paper presents an interoperable and extensible IoT framework that follows oneM2M standard. The framework is validated by a reference implementation that includes automatic sensor recognition and pairing, NoSQL support, complex event processing and alarming and extensions for IoT devices communication over HTTP, WebSocket, CoAP, MQTT, Z-Wave, ZigBee and Bluetooth. The novelty includes the theoretical and practical solution to the proposed platform. Furthermore, we show the feasibility to build generally useful IoT platforms that are based on standards."
"Information flow and complex event processing of the sensor network communication","2015","Research institutes and companies are focusing intensively on Complex Event Processing, Event Stream Processing, Information Flow Processing and Surprise Event Detection methods and algorithms. This phenomenon is intensified by the rapid evolution and spreading in practice of the Internet of Things services. A huge amount of data is created continuously by the physical and logical sensors embedded into various equipment and aimed to monitor the state of physical processes. Time critical query-response mechanisms of the QoS based systems are more and more penetrating in the low bandwidth wireless sensor environment, as well. The behavior of the wireless sensor network requires special evaluation of the state information sent to and processed by the sink node. The items of the status information flow are affected by the low energy and low bandwidth characteristics of sensor networks. Despite of uncertainty of the data transmission in wireless sensor networks the energy constraint permits rarely retransmission of data affected by error. To mitigate the aforementioned issues, cognitive infocommunication algorithms may prove to be an effective solutions. Consequently, this paper presents a method to detect special events and surprises in time processes of the sensor network communication. The proposed method is applied to ZigBee sensor network (based on IEEE 802.15.4 standard) in different congestion scenarios."
"A complex event processing based approach of multi-sensor data fusion in IoT sensing systems","2015","The Internet of Things (IoT) has been widely applied in sensing systems, which connect various sensors and gather their information. Data fusion, which is to integrate multiple data representing the same real-world object into a consistent and accurate representation, is an important issue. Most of existing approaches of data fusion involve various analytical procedures whose high computational complexity usually requires massive computing resources. In this paper, an efficient data fusion approach is proposed. Stochastic models are presented to describe the measurements, and quantitative analyses are given to evaluate the efficacy of data fusion. Complex event processing engine is applied to improve the efficiency of data transmission and processing to meet the real-time demands. Finally, simulation experiments are conducted to validate the efficacy of the approach."
"The Emerging Paradigm of the Social Internet of Things","2016","All market and technology studies forecast an explosive growth in the number of things which will be connected to the Internet. The resulting network is what is commonly known as the 'Internet of Things' (IoT). The IoT poses completely new challenges when compared to the traditional Internet which cannot be faced if the involved objects are just traditional smart objects. In fact, the extremely high complexity (huge number of nodes, extreme heterogeneity of their resources and capabilities, uncertainty on their trustworthiness, etc.) of the IoT environment cannot be faced by even very smart objects singularly. Social behavior is the answer to face the complexity of the surrounding environment. Accordingly, the concept of Social Internet of Things (SIoT) has been recently introduced and is the subject of a rapidly increasing research effort. The main objective is giving social-like capabilities to the objects in the Internet of Things and design conceptual (and software) platforms, which can be exploited to easily develop and implement complex applications that require direct interactions among objects. In this course we will provide an introduction to this paradigm, discuss related basic concepts, survey the existing literature and projects, and describe a specific solution in details by providing some example applications."
"Technology foresight through the collaboration with human expert and machine intelligence","2016","We always make efforts to predict our future from the past and the present, since the prediction can make great changes in our life, especially in the fields of science and technology. Many organizations in the globe have surveys and announces emerging or disruptive technologies every year. Of course, they have developed their own processes to achieve the goal, but the insights of experts from related domains are usually absolute. In the era of Bigdata, due to the enormous amount of information, domain experts are struggling with timeliness and completeness in developing insights for the future. In KISTI, we introduced a methodology in which human experts are collaborating with machine intelligence to overcome the information flood. Data-intensive analysis methodology is applied to implement the machine intelligence to predict emerging technologies. The intelligent service platform, named InSciTe, includes data gathering, text mining, identity resolution, reasoning, complex event processing, and prescriptive analytics modules. InSciTe generates candidates of emerging technologies with the evidences why they are selected as candidates, and then domain experts make the final decision. In this talk, I will introduce our intelligent service platform based on the data-intensive analysis. Besides, I will show several case studies in the domains of ICT, internet security, and healthcare as joint works with NIPA, KISA, and KRIBB respectively. For the cases with KRIBB, human experts collaborated with machine intelligence interactively to derive the results. We named this approach as Chi(Computer Human Interacting)-Delphi method for technology foresight. As Web goes to connect machine intelligences in the era of Internet of Things, the collaboration between human intelligence and machine intelligence will be eventually the next great wave for predicting the future."
"Hybrid controller for a software-defined architecture of industrial internet lab-scale process","2017","Internet of Things (IoT) is a thriving trend that has invaded many aspects of real life. The merging of IoT with industrial information is forming a new emerging direction of Industrial Internet of Things (I<sup>2</sup>oT). I<sup>2</sup>oT requires reliable methods for co-design of control and automation systems that can align their performance within deep and complex cyber layers of communication and computation. This paper investigates the utilization of hybrid control approach for modeling and analyzing distributed control of a quadruple-tank as a lab-scale benchmark process. The system is implemented via a software-defined architecture for I<sup>2</sup>oT using low-cost commercial IoT-enabled Intel Galileo Boards. The proposed I<sup>2</sup>oT software architecture utilizes Node.js and JavaScript for all different layers of the system with web sockets for handling real-time control packets. Node.js is considered reliable for event-driven scheme applications such as I<sup>2</sup>oT due to its optimal performance and resource utilization."
"Proactive Complex Event Processing for transportation Internet of Things","2015","Complex Event Processing (CEP) has become the key part of Internet of Things (IoT). Proactive CEP can predict future system states and execute some actions to avoid unwanted states which brings new hope to transportation IoT. In this paper, we propose a proactive CEP architecture and method for transportation IoT. Based on basic CEP technology, this method uses structure varying Bayesian network to predict future events and system states. Different Bayesian network structures are learned and used according to different event context. A networked distributed Markov decision processes model with predicting states is proposed as sequential decision model. Q-learning method is investigated for this model to find optimal joint policy. The experimental evaluations show that this method works well when used to control congestion in transportation IoT."
"A Soft Real-Time Stream Reasoning Service for the Internet of Things","2019","Most Internet of Things applications have their algorithms driven by elementary events or basic sensor data. While this may be sufficient for some applications, it precludes the possibility of describing and detecting semantic relationships among these events/data and to infer new application-relevant facts out of these relations, which could give an IoT application means of reasoning about the ambient and its context. But since many IoT applications also require timely response times, such semantic reasoning has to happen nearly in real-time, and hence reasoning has to be done over data/event streams, a.k.a Stream Reasoning. This work presents a semantic model and an IoT middleware service for data stream reasoning using a combination of Complex Event Processing (CEP) and continuous queries over streams of RDF semantic data. In our approach we use CEP in the IoT Edge devices to derive time-annotated RDF data from the basic events, and C-SPARQL for processing online queries over a domain ontology, aiming to check if some indirect fact or property about the system or the environment can be deduced. In order to showcase and test the capacity of nearly real-time inference over data streams of our middleware service, we designed and implemented a scenario of fire warning in a hypothetical multi-store building with temperature and humidity sensors."
"TrustCEP: Adopting a Trust-Based Approach for Distributed Complex Event Processing","2017","The advent of the Internet of Things (IoT), with modern sensors and sensor-based devices, will significantly stimulate the development of context-aware applications. An effective means to extract higher-level contextual information from sensor data is distributed complex event processing (CEP), which facilitates the analysis of real-time data streams coming from heterogeneous and distributed sources. Considering that user context is inherently sensitive information, the preservation of privacy is critical once the processing of user context takes place over several (possibly malicious) devices, especially in collaborative scenarios. In this paper, we tackle this issue by introducing a trust-based approach for the placement and execution of CEP operators in a distributed environment. We propose a trust management model based on communication interactions among the users. Furthermore, we incorporate trust recommendations using a cosine-based similarity check in order to overcome collusion and on-off attacks. We developed a smartphone-based distributed CEP system called TrustCEP to evaluate our approach for trust management. Based on the evaluation of TrustCEP, we observe that our approach induces a minimal increase in average battery consumption compared to privacy-negligent approaches."
"Automata-Based Generic Model for Interoperating Context-Aware Ad-Hoc Devices in Internet of Things","2018","Internet of Things (IoT) applications can be seen as network-controlled systems with a distributed architecture connecting many smart objects through the Internet. A typical IoT application aims to connect a set of nodes, capable of processing data and making decisions regarding the goal of the IoT application, with other nodes containing smart objects with robotic components to collect data from their environment. In this paper, a generic model for novel context-aware and adaptive IoT architecture is presented. A group of nodes contains a controller interface (CI) that is used to control other nodes containing a controller unit (CU) which communicates randomly. CU nodes have complex control systems comprising both actuators and sensors, however CI nodes typically do not have detailed knowledge of such individual functionalities. Instead, at run time, control program logic (CPL) is downloaded by the CI to facilitate control and communication. The system also allows for different CPLs for any particular CU. In such an open and adaptive IoT environment, an architecture is required that can provide sufficient flexibility in designing nodes while maintaining uniformity in the IoT system to allow for interoperability and reliability. Using the notion of automata, a generalized mathematical description is presented that allows modeling of the CI and CU nodes and their operation. This model can then be used to formulate and solve problems regarding the interaction between CIs and CUs. The application of this model is demonstrated through a case study involving remote access laboratories where the CI–CU model is used."
"Context-aware stream processing for distributed IoT applications","2015","Most of the IoT applications are distributed in nature generating large data streams which have to be analyzed in near real-time. Solutions based on Complex Event Processing (CEP) have the potential to extract high-level knowledge from these data streams but the use of CEP for distributed IoT applications is still in early phase and involves many drawbacks. The manual setting of rules for CEP is one of the major drawback. These rules are based on threshold values and currently there are no automatic methods to find the optimized threshold values. In real-time dynamic IoT environments, the context of the application is always changing and the performance of current CEP solutions are not reliable for such scenarios. In this regard, we propose an automatic and context aware method based on clustering for finding optimized threshold values for CEP rules. We have developed a lightweight CEP called μCEP to run on low processing hardware which can update the rules on the run. We have demonstrated our approach using a real-world use case of Intelligent Transportation System (ITS) to detect congestion in near real-time."
"A Data Generation Algorithm for Internet of Things Based on Complex Event Processing","2015","With the rapid development of the Internet of things(IOT), the applications are more and more extensive in smart grid, intelligent transportation, intelligent logistics, intelligent medical, smart home and so on. In this case, more and more big data analysis and processing engines are emerging. Because real data is difficult to obtain, how to provide fast test data with enough variety, large scale, and high complexity for these wide types of big data processing engines become a thorny issue. In order to meet the demand, this paper designs and implements a Data Generation Algorithm based on Complex event processing (CEP). The definition of selective event flow, sequential event flow, and causal event flow are proposed. The experimental results show that, the method is effective."
"Study on distributed complex event processing in Internet of Things based on query plan","2015","Complex event processing is an efficient method in data stream processing of Internet of things, but more of these methods are referred to a single complex event or a small quantity of events. Aiming at this problem, a distributed complex event processing architecture for Internet of things is presented in this paper, in which a distributed query plan of complex event process structure based on directed acyclic graph (DAG) is given, moreover, a distributed query-plan complex-event-processing algorithm based on directed acyclic graph is proposed. The complex tasks are decomposed into several simple sub-tasks which are processed in parallel with the corresponding operator nodes, to realize distributed processing and to improve the efficiency of processing and execution. The simulation results indicate that our method is more efficient in lower RAM consumption, processing time, and others, and the efficiency of data stream processing for Internet of things is improved."
"iDispenser — Big Data Enabled Intelligent Dispenser","2017","With healthcare-associated infections (HAIs) in the U.S. accounting for an estimated 1.7 million infections and 99,000 deaths annually, reducing and preventing these infections is a top goal for healthcare facilities throughout the country [1]. Not only healthcare facilities, in other captive environments, for instance, ships and cruises, provide environment that may increase risk of infection. According to Minooee and Rickman [2], “Ships provide an isolated environment that may increase the passenger's risk of infection if exposed to respiratory viruses. High attack rates of influenza, for example, are typically seen in closed settings such as cruises, military vessels, aircraft, and institutions”. The high rates of infection in captive areas are influenced by number of people entering and exiting the place. As per the research summarized by “Hospital infection control: reducing airborne pathogens”[3], the number of people entering and exiting provides a contaminant source. It's known that the concentration of airborne bacteria is proportional to the number of personnel in the room. The amount of surface contamination is also related to airborne contamination from occupation and activity since these microbes settle continuously.” Fencl [3] suggests that the use of disinfection, to control infectious agents in healthcare settings, is one of its oldest and most cost effective ways to control airborne infection. Nichols [1], importantly, suggest that touchless dispensing solutions as an effective way to help reduce the spread of germs. In our view, with advent of machine learning and Internet of Things, combining automated & intelligent dispensing with touchless systems provides more holistic approach to control infection in healthcare and, more importantly, captive places such as hospitals, cruises, casinos, airports and other places. In this research paper, we propose an innovative approach to prevent spread of airborne diseases through the application of Big Data Technologies and IoT Sensing. Our goal is to cutting down the millions of dollars spent on infectious diseases, intelligent dispenser promises to keep hospitals smelling fresh soothing and disinfecting. The paper presents prototyping solution design as well as its application and certain experimental results."
"A Review on Complex Event Processing Systems for Big Data","2018","Over the years, huge volumes of data are continuously generated due to the increasing number of applications, efficient methods are therefore required to determine the event patterns of interest and manage highly dynamic events in real-time. There has been increasing demand for active systems within Internet of Things, which can automatically react to events that come from various sources. Complex Event Processing (CEP) is an impressive technology that can deal with large amount of data from various sources depending on the consistency of data to generate exact result to process dynamic data in real-time. Thus, understanding existing CEP methods and tools is essential to develop a robust and effective CEP system. In this paper, we had briefly described about event processing, CEP with different engines and CEP for uncertainty. This paper reviewed CEP tools available in the market from 2010 to 2017. It has been found that there are many commercialized and open-source CEP tools in current market, where commercialized tools are used for business intelligence purpose and open-source tools are mostly used for academic purposes. Most of the available processing tools are Query-based and very few are working with Machine learning. There is a huge potential for further research in the use of Machine Learning in Complex Event Processing."
"A Hybrid Complex Event Service Based on IoT Resource Models","2015","Traditional Complex Event systems (CEP) did not consider the computation requirements of continuous dynamic behavior such as differential equations. In addition, the event composition rules were predefined before the CEP engine began working. The rule defining task is error-prone and cumbersome. In this paper, therefore, a hybrid complex event service is proposed, which deals with not only discrete events but also continuous behavior computation based on IoT (Internet of Things) resource models. In order to satisfy the real-time constraints of processing IoT events, a divide-and-conquer principle is adopted, where we give a combination theorem such that different events can be processed on different IoT resources and then these processed results can be combined to derive complex events. Based on the formal IoT resources and event knowledge, we define interest goals to direct event composition without enumerating event relation to define event composition rules. We finally present event composition algorithms and evaluation to show our idea."
"Big Data Complex Event Processing for Internet of Things Provenance: Benefits for Audit, Forensics, and Safety","2017","Some Internet of Things (IoT) subsystems will be far less robust than others. Systems that rely on these sensors require considerable knowledge about the sensors, their calibration, test conditions, manufacturers' recommended maintenance procedures. Despite the drive toward increased dataset variety, and while Big Data has had a correspondingly large impact on containerization and DevOps, the impact on information assurance (IA) has been incremental. This chapter surveys approaches to leverage Big Data techniques to enhance IoT provenance, which is itself only one of multiple measures needed to improve information assurance. A number of thus far loosely connected approaches are identified and addressed. Systematic use of concept of complex event processing (CEP) can improve on current information assurance practices, especially if its paradigms and design practices are more widely incorporated into IoT architectures. Big Data is changing the nature of work for Chief Security Officers (CSO), auditors, and forensic investigators."
